bysex,bystlang,byincome,stu_exp,par_asp,mth_read,mth_test,rd_test,freelnch,stu_tch,putdownt,safe,disrupt,gangs,rac_fght,fair,strict,stolen,drugs,t_hurt,p_fight,hit,damaged,bullied,late,skipped
1,1,8,7,5,44.78,46.84,43.39,5,2,3,2,1,3,4,3,2,3,3,1,1,2,1,1,2,1
2,1,10,5,5,36.54,32.75,42.04,3,3,4,NA,2,3,2,2,3,2,1,2,1,1,1,1,1,1
2,0,9,6,5,65.65,62.27,67.05,1,2,3,3,3,3,3,2,2,1,1,1,1,1,1,1,1,1
1,1,12,6,5,71.63,72.36,68.16,1,2,2,3,2,3,3,2,3,2,2,1,1,2,1,1,2,1
1,1,12,7,6,57.34,55.08,58.67,1,2,2,4,3,1,1,4,2,3,3,2,1,2,2,3,1,2
2,0,8,6,6,61.56,56.21,65.45,1,2,3,3,1,3,3,2,2,1,1,1,1,1,1,1,2,1
1,1,8,NA,2,33.3,33.72,35.01,1,3,3,3,2,2,2,3,2,1,1,1,3,2,1,1,1,1
2,0,12,7,7,61.1,56.46,64.34,NA,3,2,2,2,3,2,3,3,2,1,3,2,2,2,2,2,1
2,1,12,7,7,66.26,64.39,66.07,NA,2,3,3,2,2,3,2,2,1,1,1,1,1,1,2,1,1
1,1,10,5,5,49.96,50.38,49.55,1,2,4,3,2,4,4,3,3,1,1,1,1,1,1,1,2,1
2,1,9,7,2,49.43,43.84,55.1,1,2,3,3,3,3,3,2,3,1,1,1,1,1,1,1,3,NA
1,1,12,5,5,42.76,40.34,46.1,1,3,1,2,2,2,4,3,2,1,1,1,1,1,1,2,2,1
2,1,8,5,5,56.99,56.89,56.21,1,2,3,3,3,3,3,2,2,1,1,1,1,1,1,1,5,1
1,1,10,5,5,47.23,45.38,49.43,1,2,3,3,2,1,2,2,2,3,3,1,2,1,1,1,2,1
2,1,7,7,6,54.4,46.49,61.75,5,2,3,3,3,3,3,3,2,1,1,1,1,2,1,1,1,1
1,1,9,3,7,30.14,31.62,31.19,3,2,4,4,2,3,3,2,2,1,1,1,1,1,1,1,3,2
2,1,10,6,6,52.4,53.58,50.91,2,3,3,3,3,2,3,2,3,1,2,1,1,1,1,1,3,1
2,1,12,6,7,56.42,57.29,54.73,2,2,3,3,2,2,3,2,3,1,3,1,1,1,1,3,3,2
2,1,11,6,7,59.16,55.9,61.26,1,4,4,3,2,2,3,4,3,NA,2,2,1,1,2,2,2,1
