AB39M,AB39T,AB39U,AB39W,AB39X,GA33A,GA33H,GA33I,GA33K,GA33L,ENGINEER,MATHG7,MATHG8,MATHG10,MATHG11,MATHG12,FEMALE,KA9B,KA9C,KA9D,KA9G,KA9K,CPROB11,CPROB12,CPROB13,CPROB14,CMOD1,CASENUM
1,0,0,0,1,1,1,1,1,1,9999,58.76,66.96,72.98,81.25,9999,0,9999,9999,9999,9999,9999,0.003,0.937,0,0.06,2,1236
1,1,1,1,1,9999,9999,9999,9999,9999,0,40.39,32.95,9999,9999,9999,1,9999,9999,9999,9999,9999,0.957,0.043,0,0,1,1238
1,1,0,0,1,0,0,1,0,0,0,48.59,51.83,53.44,60.36,9999,1,0,0,1,1,1,0.121,0.879,0,0,2,1242
1,1,1,1,1,1,1,1,1,0,0,57.02,55.19,71.28,73.34,76.52,0,0,0,0,0,0,0.957,0.043,0,0,1,1244
1,0,1,0,1,1,1,0,0,0,0,34.79,54.34,51.64,47.44,56.88,0,1,1,1,0,0,0.048,0.951,0,0.001,2,1245
1,0,0,1,0,0,0,1,0,0,0,54.61,51.74,61.11,9999,9999,1,9999,9999,9999,9999,9999,0.004,0,0.643,0.353,3,1247
0,0,9999,1,0,1,0,0,0,0,9999,37.11,42.05,49.15,56.56,9999,1,0,0,0,0,1,0.004,0,0.551,0.445,3,1250
0,1,1,0,0,9999,9999,9999,9999,9999,9999,50.31,9999,9999,9999,9999,1,9999,9999,9999,9999,9999,0.013,0,0.987,0,3,1252
1,0,0,0,0,9999,9999,9999,9999,9999,9999,9999,53.54,9999,9999,9999,1,9999,9999,9999,9999,9999,0,0,0.307,0.693,4,1253
1,0,1,1,0,1,0,0,0,0,9999,37.72,50.71,65.33,9999,9999,0,0,0,0,0,0,0.056,0,0.94,0.005,3,1254
0,0,0,0,1,0,0,0,0,0,0,50.15,62.19,9999,9999,9999,1,9999,9999,9999,9999,9999,0.001,0.763,0,0.236,2,1256
0,1,0,0,0,9999,9999,9999,9999,9999,0,59.02,9999,9999,9999,9999,0,9999,9999,9999,9999,9999,0.001,0,0.999,0,3,1257
1,1,1,1,1,9999,9999,9999,9999,9999,9999,34.72,31.22,9999,9999,9999,0,9999,9999,9999,9999,9999,0.957,0.043,0,0,1,1259
1,1,1,0,1,1,1,1,0,1,0,36.56,25.69,37.64,9999,9999,1,9999,9999,9999,9999,9999,0.687,0.313,0,0,1,1260
0,0,0,0,0,0,0,0,0,0,0,60.52,9999,9999,73.07,9999,1,9999,9999,9999,9999,9999,0,0,0.117,0.883,4,1261
0,1,1,1,1,0,0,0,0,0,9999,55.45,55.1,72.92,9999,66.72,0,1,1,1,1,1,0.859,0.141,0,0,1,1266
0,1,9999,1,1,9999,9999,9999,9999,9999,9999,44.72,48.4,9999,9999,9999,0,9999,9999,9999,9999,9999,0.75,0.25,0,0,1,1268
0,0,0,0,0,9999,9999,9999,9999,9999,9999,39.18,32.79,9999,9999,9999,0,9999,9999,9999,9999,9999,0,0,0.117,0.883,4,1270
1,1,1,0,0,9999,9999,9999,9999,9999,0,37.27,39.57,9999,9999,9999,1,1,0,1,1,1,0.063,0,0.937,0,3,1274
1,0,0,0,0,9999,9999,9999,9999,9999,0,46.74,9999,9999,9999,9999,1,9999,9999,9999,9999,9999,0,0,0.307,0.693,4,1281
1,1,0,1,1,0,0,0,0,0,0,54.01,38.34,61.84,62.2,74.58,1,1,1,1,1,1,0.58,0.42,0,0,1,1282
1,0,1,1,1,1,1,9999,1,1,0,54.28,50.35,65.76,9999,9999,0,9999,9999,9999,9999,9999,0.337,0.663,0,0,2,1284
1,0,0,0,1,1,0,0,0,0,0,61.48,9999,9999,9999,9999,1,9999,9999,9999,9999,9999,0.003,0.937,0,0.06,2,1285
1,1,1,0,1,1,9999,1,1,1,0,61.89,66.17,66.47,83.32,79.21,0,1,1,1,1,1,0.687,0.313,0,0,1,1287
0,0,0,0,0,0,0,0,0,0,0,47.16,50.13,9999,9999,9999,1,1,0,0,0,0,0,0,0.117,0.883,4,1288
1,1,1,1,1,1,1,1,1,1,0,62.01,67.57,95.26,9999,9999,0,1,1,1,1,1,0.957,0.043,0,0,1,1289
1,0,0,0,0,1,0,0,1,0,0,43.94,53.93,9999,9999,9999,0,1,1,1,1,1,0,0,0.307,0.693,4,1292
1,0,0,0,0,1,1,1,1,1,0,55.37,53.42,66.98,73.92,9999,1,9999,9999,9999,9999,9999,0,0,0.307,0.693,4,1295
0,0,0,1,1,1,1,1,1,1,0,46.19,39.96,66.92,56.54,9999,1,1,0,1,1,0,0.008,0.965,0,0.026,2,1296
0,0,0,1,0,0,1,1,1,1,9999,43.68,47.65,39.36,42.47,54.25,0,1,1,9999,1,1,0,0,0.353,0.647,4,1297
0,0,0,0,0,9999,9999,9999,9999,9999,9999,34.16,37.64,9999,9999,9999,0,9999,9999,9999,9999,9999,0,0,0.117,0.883,4,1300
1,1,1,1,0,9999,9999,9999,9999,9999,9999,46.59,9999,9999,9999,9999,1,9999,9999,9999,9999,9999,0.65,0,0.35,0,1,1301
0,0,0,0,0,9999,9999,9999,9999,9999,0,61.43,61.16,9999,9999,9999,1,9999,9999,9999,9999,9999,0,0,0.117,0.883,4,1303
1,1,1,1,1,1,1,0,1,1,0,52.05,60.66,64.31,65.76,9999,0,9999,9999,9999,9999,9999,0.957,0.043,0,0,1,1305
1,0,1,0,1,0,1,1,1,1,9999,52.22,55.87,64.29,67.95,64.6,0,1,0,1,1,1,0.048,0.951,0,0.001,2,1306
1,1,1,0,1,9999,9999,9999,9999,9999,9999,41.9,55.56,9999,9999,9999,0,9999,9999,9999,9999,9999,0.687,0.313,0,0,1,1309
1,1,1,1,1,9999,9999,9999,9999,9999,9999,40.65,9999,9999,9999,9999,1,9999,9999,9999,9999,9999,0.957,0.043,0,0,1,1312
1,1,1,1,1,9999,9999,9999,9999,9999,0,63.71,64.53,9999,9999,84.09,0,1,0,1,1,1,0.957,0.043,0,0,1,1313
1,1,1,1,1,0,0,0,0,0,9999,35.58,50.12,51.47,54.74,9999,0,9999,9999,9999,9999,9999,0.957,0.043,0,0,1,1316
1,0,0,0,1,0,1,1,1,1,9999,47.81,9999,9999,57.29,9999,1,0,0,0,0,0,0.003,0.937,0,0.06,2,1319
0,0,1,1,1,9999,9999,9999,9999,9999,0,60.48,60.66,9999,9999,9999,0,9999,9999,9999,9999,9999,0.122,0.877,0,0,2,1320
0,0,1,0,0,1,0,0,0,1,0,33.54,36.43,40.37,9999,9999,1,9999,9999,9999,9999,9999,0,0,0.934,0.066,3,1321
0,0,0,0,0,9999,9999,9999,9999,9999,0,37.71,61.42,9999,9999,9999,0,9999,9999,9999,9999,9999,0,0,0.117,0.883,4,1322
0,0,0,0,0,0,0,0,1,0,0,65.55,67.5,77.43,9999,9999,0,9999,9999,9999,9999,9999,0,0,0.117,0.883,4,1323
1,1,1,0,1,9999,9999,9999,9999,9999,9999,42.71,45.07,9999,9999,9999,0,9999,9999,9999,9999,9999,0.687,0.313,0,0,1,1324
1,1,1,1,1,0,0,0,1,1,0,62.25,69.56,63.72,9999,9999,0,1,1,1,1,1,0.957,0.043,0,0,1,1325
0,1,1,1,1,1,0,0,1,0,0,38.91,41.03,34.71,49.33,9999,1,9999,9999,9999,9999,9999,0.859,0.141,0,0,1,1329
0,0,0,0,0,1,0,1,0,0,9999,44.37,48.2,56.45,59.38,84.54,1,1,0,1,1,0,0,0,0.117,0.883,4,1330
0,0,0,1,0,9999,9999,9999,9999,9999,0,47.71,51.73,9999,9999,9999,1,9999,9999,9999,9999,9999,0,0,0.353,0.647,4,1331
1,1,1,0,1,1,1,1,0,0,0,48.75,9999,53.85,9999,9999,1,9999,9999,9999,9999,9999,0.687,0.313,0,0,1,1332
1,1,1,1,1,9999,9999,9999,9999,9999,0,33.57,35.31,9999,9999,9999,1,9999,9999,9999,9999,9999,0.957,0.043,0,0,1,1335
1,0,0,1,0,1,0,0,0,0,0,52.18,48.17,41.93,9999,9999,1,9999,9999,9999,9999,9999,0.004,0,0.643,0.353,3,1341
1,1,0,1,0,1,1,1,1,1,0,65.66,67.4,79.39,80.79,9999,1,9999,9999,9999,9999,9999,0.15,0,0.85,0,3,1342
0,0,1,0,1,1,0,0,0,1,9999,39.81,38.14,9999,53.69,9999,1,0,0,0,0,0,0.014,0.982,0,0.004,2,1343
1,0,9999,0,0,0,0,1,0,0,9999,45.96,59.07,61.12,64.17,9999,1,9999,9999,9999,9999,9999,0.001,0,0.501,0.498,3,1345
1,1,1,1,1,0,0,0,1,0,0,62.44,67.78,74.3,76.87,9999,0,1,1,1,1,1,0.957,0.043,0,0,1,1346
1,1,0,1,0,9999,9999,9999,9999,9999,0,42.04,45.53,9999,9999,9999,1,9999,9999,9999,9999,9999,0.15,0,0.85,0,3,1349
1,1,1,1,1,9999,9999,9999,9999,9999,0,33.05,41.33,33.34,35.13,42.11,0,1,1,1,1,1,0.957,0.043,0,0,1,1350
