10087	199507	-0.9782	1	6	3	.	55.8121	52.3377	2.5	1.5	6	8	3	3	4	4	4	4	3	4	4	4	3	3	1	2	2	2	2	2	3	2	3	3	3	3	3	0	2	2	2	3	2	2	1	1	1
10088	199505	0.3647	2	6	.	.	49.7352	51.7461	3.5	3	10	.	3	3	4	4	4	3	3	3	4	4	4	3	0	2	1	.	.	.	.	.	.	.	.	.	.	.	2	1	1	4	1	2	1	1	1
10089	199411	0.984	1	3	5	.	39.5401	43.9212	.	2	8	8	2	2	.	.	.	.	.	.	.	.	.	.	.	4	4	3	3	3	3	3	3	3	4	4	4	1	2	3	3	3	2	3	2	1	1
10090	199506	-0.0322	2	6	4	4	50.1433	50.607	3	3	11	6	2	2	3	4	3	3	2	4	3	3	4	4	0	4	4	3	4	4	3	4	4	4	4	4	3	1	2	1	1	4	1	2	1	1	1
10091	199501	-0.7627	1	5	1	1	51.2382	37.1459	2.5	2.5	4	5	2	2	3	3	3	3	3	3	3	3	3	3	1	2	2	2	2	2	2	2	2	3	2	1	1	0	2	2	3	1	1	2	1	2	2
10092	199309	-0.6288	1	8	.	.	27.9219	35.2033	1	1	2	.	2	2	.	.	.	.	.	.	.	.	.	.	.	2	2	.	.	.	.	.	.	.	.	.	.	.	2	2	3	3	2	3	3	3	4
10093	199502	-0.1513	1	8	4	2	49.5211	56.6855	3.5	3	10	6	3	2	3	3	3	3	3	3	3	3	4	2	0	2	2	.	.	.	.	.	.	.	.	.	.	.	2	2	2	3	1	1	1	2	1
10094	199502	1.7567	1	8	7	4	63.2917	.	3	3	6	6	3	3	3	3	2	3	2	2	3	3	3	3	0	3	3	3	3	2	3	2	2	3	3	3	3	0	2	2	2	3	2	1	1	1	1
10095	199504	0.122	2	6	2	5	67.7484	63.3464	3.5	3	10	8	4	3	4	3	4	3	3	4	4	3	4	2	1	2	3	.	.	.	.	.	.	.	.	.	.	.	2	1	2	4	1	2	1	1	1
10096	199509	-0.3442	2	3	2	2	47.1642	47.5031	.	.	9	6	2	4	3	4	4	3	3	3	3	3	3	2	0	2	2	3	3	3	3	3	3	3	3	3	3	0	2	2	2	3	1	2	1	1	1
10097	199507	0.9349	2	5	3	4	53.6645	50.4829	2.5	2.5	8	8	3	3	3	4	3	4	3	4	4	3	4	3	1	2	2	2	4	2	4	3	3	4	3	3	3	0	1	1	1	4	1	3	1	2	1
10099	199508	1.4352	2	8	5	4	52.6311	60.6802	4	3.5	10	8	4	4	3	4	3	3	3	3	3	3	4	3	1	3	3	3	3	3	4	4	4	4	3	2	2	0	2	2	2	3	2	2	1	1	2
10100	199506	-0.1266	2	8	1	3	42.3864	49.4343	2	1.5	10	10	1	1	1	3	2	1	1	1	2	2	1	1	0	1	1	1	3	1	2	1	2	3	3	1	2	0	2	2	4	2	1	1	1	1	2
10101	199412	-0.1066	2	8	.	.	31.5936	.	1.5	0.5	11	.	2	1	3	4	4	3	3	3	3	3	2	2	0	2	1	.	.	.	.	.	.	.	.	.	.	.	2	2	2	3	2	2	1	1	1
